                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.0754,                 3.9915,                0.35595,                 0.9479,                 1.2265,                0.85228,                0.80305,                0.89068,                0.66504,                0.81515,                0.70745,                0.76079,                0.45109,                0.90581,                 2.8032,                0.32686,                0.71168,                 1.1014,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.0787,                 3.9925,                0.35605,                0.95233,                 1.2283,                0.85289,                0.80323,                 0.8907,                0.66555,                0.81582,                0.70954,                0.76185,                0.45166,                0.90557,                 2.7976,                0.32662,                0.71037,                 1.1015,              0.0098911,              0.0098911,              0.0098911
                     24,                 1.0777,                 3.9792,                0.35554,                0.94733,                 1.2269,                0.85619,                0.79928,                0.89065,                 0.6661,                0.81661,                0.71064,                0.76309,                0.45251,                0.90468,                  2.795,                0.32635,                0.70876,                 1.1014,              0.0098861,              0.0098861,              0.0098861
                     25,                 1.0768,                 3.9907,                0.35525,                0.94638,                 1.2263,                0.85624,                0.79896,                0.89087,                 0.6658,                0.81546,                0.71048,                0.76119,                0.45283,                0.90432,                 2.7894,                0.32602,                0.70776,                  1.101,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.0759,                 3.9695,                0.35454,                0.94423,                 1.2245,                0.85892,                 0.7955,                0.89064,                0.66591,                0.81203,                0.71474,                0.76265,                0.45394,                0.90412,                 2.7862,                0.32587,                0.70684,                 1.1006,              0.0098763,              0.0098763,              0.0098763
                     27,                 1.0765,                 3.9798,                0.35483,                 0.9435,                 1.2267,                0.85547,                0.79949,                0.89064,                0.66657,                0.81332,                0.71521,                0.76237,                0.45469,                0.90394,                  2.781,                0.32572,                  0.706,                 1.1005,              0.0098713,              0.0098713,              0.0098713
                     28,                 1.0735,                 3.9643,                0.35445,                 0.9398,                 1.2246,                0.85815,                0.79817,                0.89098,                0.66655,                0.81287,                0.71662,                 0.7642,                0.45593,                0.90378,                 2.7766,                0.32567,                 0.7046,                 1.1004,              0.0098664,              0.0098664,              0.0098664
                     29,                 1.0751,                 3.9671,                0.35473,                0.94195,                 1.2257,                0.85814,                0.79928,                0.89143,                0.66702,                0.81762,                0.71423,                0.76626,                0.45626,                0.90369,                 2.7735,                0.32554,                0.70465,                 1.1001,              0.0098614,              0.0098614,              0.0098614
                     30,                 1.0736,                  3.968,                0.35473,                0.94121,                 1.2244,                 0.8563,                0.80306,                0.89148,                0.66713,                 0.8138,                 0.7171,                0.76561,                0.45634,                0.90333,                 2.7706,                0.32534,                0.70363,                    1.1,              0.0098565,              0.0098565,              0.0098565
                     31,                 1.0737,                 3.9643,                0.35447,                0.94218,                 1.2243,                0.85961,                0.80085,                 0.8915,                0.66729,                0.81575,                0.71363,                 0.7643,                0.45669,                0.90302,                 2.7712,                0.32528,                0.70325,                 1.0997,              0.0098515,              0.0098515,              0.0098515
                     32,                 1.0721,                 3.9629,                0.35401,                0.94217,                 1.2231,                0.85675,                0.80101,                0.89087,                0.66681,                0.81992,                0.71321,                 0.7665,                0.45714,                0.90275,                 2.7687,                0.32513,                 0.7031,                 1.0996,              0.0098466,              0.0098466,              0.0098466
                     33,                 1.0725,                 3.9592,                0.35375,                0.94209,                 1.2242,                0.85757,                0.80164,                0.89048,                0.66646,                0.81957,                0.71438,                0.76757,                0.45781,                0.90312,                  2.768,                0.32499,                0.70289,                    1.1,              0.0098416,              0.0098416,              0.0098416
                     34,                 1.0711,                 3.9564,                0.35346,                0.93871,                 1.2223,                0.86302,                0.79849,                0.89127,                0.66659,                0.81889,                0.71609,                0.76854,                0.45793,                0.90331,                 2.7671,                0.32487,                0.70233,                 1.1003,              0.0098367,              0.0098367,              0.0098367
                     35,                 1.0765,                 3.9732,                0.35421,                0.94417,                 1.2258,                0.86004,                0.79908,                0.89087,                0.66684,                0.82324,                0.71143,                0.76827,                0.45807,                0.90273,                 2.7659,                0.32484,                0.70179,                 1.0999,              0.0098317,              0.0098317,              0.0098317
