                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                  1.067,                 3.9264,                 0.3522,                 0.9346,                 1.2195,                0.84779,                0.80935,                0.89473,                0.67399,                0.83275,                0.71099,                0.77347,                0.46492,                0.89275,                 2.7236,                0.32067,                0.68886,                 1.0918,              0.0095248,              0.0095248,              0.0095248
                     98,                 1.0655,                  3.912,                0.35166,                0.92955,                 1.2165,                0.85805,                0.80101,                0.89506,                0.67361,                0.83455,                0.70954,                0.77343,                0.46513,                0.89259,                 2.7267,                0.32076,                0.68824,                 1.0918,              0.0095198,              0.0095198,              0.0095198
                     99,                 1.0662,                 3.9165,                0.35157,                0.93079,                 1.2186,                0.86181,                0.80022,                0.89506,                0.67358,                 0.8344,                0.71073,                0.77346,                0.46524,                0.89328,                 2.7268,                0.32085,                0.68863,                 1.0922,              0.0095149,              0.0095149,              0.0095149
                    100,                 1.0654,                 3.9236,                0.35067,                0.93173,                 1.2197,                 0.8636,                 0.7988,                0.89498,                0.67357,                0.82456,                0.71647,                0.77382,                0.46495,                0.89366,                 2.7269,                0.32077,                0.68872,                 1.0923,                0.00951,                0.00951,                0.00951
                    101,                 1.0662,                 3.9266,                0.35147,                0.93358,                 1.2191,                0.86197,                0.79865,                0.89482,                0.67373,                0.83368,                0.71099,                0.77333,                0.46525,                0.89329,                 2.7267,                0.32067,                0.68868,                 1.0921,               0.009505,               0.009505,               0.009505
                    102,                 1.0681,                 3.9365,                0.35181,                0.93276,                 1.2193,                0.85846,                0.80368,                0.89482,                0.67372,                0.83153,                0.71332,                0.77439,                0.46424,                0.89311,                 2.7277,                0.32073,                0.68829,                 1.0921,                 0.0095,                 0.0095,                 0.0095
                    103,                 1.0685,                 3.9229,                 0.3521,                0.93323,                 1.2184,                0.85933,                0.80306,                 0.8945,                  0.674,                0.82793,                0.71508,                 0.7737,                0.46395,                 0.8933,                 2.7303,                0.32065,                0.68833,                 1.0924,              0.0094951,              0.0094951,              0.0094951
                    104,                  1.064,                 3.9136,                0.35099,                0.93185,                 1.2185,                0.85747,                0.80321,                0.89368,                 0.6735,                0.82792,                0.71599,                0.77325,                 0.4638,                0.89319,                 2.7317,                 0.3207,                 0.6885,                 1.0924,              0.0094902,              0.0094902,              0.0094902
                    105,                 1.0682,                 3.9182,                0.35118,                0.93228,                 1.2188,                0.85407,                0.80531,                0.89376,                 0.6736,                0.82718,                0.71599,                0.77381,                0.46508,                0.89383,                 2.7312,                0.32064,                0.68831,                 1.0932,              0.0094852,              0.0094852,              0.0094852
                    106,                 1.0667,                 3.9211,                 0.3519,                0.93248,                 1.2194,                0.85601,                0.80585,                0.89429,                0.67335,                0.82721,                0.71836,                0.77412,                0.46431,                0.89327,                 2.7301,                0.32057,                0.68879,                 1.0928,              0.0094803,              0.0094803,              0.0094803
                    107,                 1.0636,                 3.9224,                0.35155,                0.93207,                  1.219,                0.85475,                0.80636,                0.89437,                0.67339,                0.82998,                0.71552,                 0.7747,                0.46424,                 0.8938,                 2.7295,                0.32062,                0.68796,                 1.0934,              0.0094753,              0.0094753,              0.0094753
                    108,                 1.0643,                 3.9128,                0.35097,                0.92996,                 1.2176,                0.85451,                0.80573,                0.89379,                0.67342,                0.82695,                0.72009,                0.77449,                0.46388,                0.89399,                 2.7269,                0.32048,                0.68832,                 1.0935,              0.0094704,              0.0094704,              0.0094704
                    109,                 1.0665,                 3.9141,                 0.3517,                0.93168,                 1.2171,                0.85843,                 0.8038,                0.89356,                0.67332,                0.82665,                 0.7171,                0.77374,                0.46405,                0.89402,                 2.7263,                0.32052,                 0.6882,                 1.0932,              0.0094654,              0.0094654,              0.0094654
                    110,                 1.0669,                 3.9294,                0.35216,                 0.9331,                 1.2194,                0.85712,                0.80274,                0.89396,                0.67336,                0.82467,                0.72009,                0.77398,                0.46394,                0.89459,                  2.727,                 0.3205,                0.68765,                 1.0938,              0.0094605,              0.0094605,              0.0094605
                    111,                 1.0676,                 3.9147,                0.35191,                0.93155,                 1.2192,                0.85825,                0.80258,                0.89408,                0.67311,                0.82671,                 0.7204,                0.77449,                0.46395,                0.89449,                  2.728,                0.32043,                0.68815,                 1.0938,              0.0094555,              0.0094555,              0.0094555
                    112,                 1.0643,                 3.9153,                0.35136,                0.92913,                 1.2172,                 0.8561,                0.80274,                0.89418,                0.67335,                0.82906,                0.71774,                0.77424,                0.46417,                0.89453,                 2.7273,                0.32039,                0.68774,                 1.0941,              0.0094506,              0.0094506,              0.0094506
                    113,                 1.0635,                 3.8888,                0.35049,                0.92744,                 1.2167,                0.85427,                0.80563,                0.89398,                 0.6726,                0.82573,                 0.7193,                0.77378,                0.46413,                0.89479,                 2.7268,                0.32042,                0.68698,                 1.0942,              0.0094456,              0.0094456,              0.0094456
                    114,                 1.0631,                 3.9136,                0.35141,                0.92921,                 1.2176,                0.85536,                 0.8044,                0.89383,                0.67298,                0.82739,                0.71918,                0.77482,                0.46488,                0.89484,                 2.7267,                0.32031,                0.68697,                 1.0943,              0.0094407,              0.0094407,              0.0094407
                    115,                  1.066,                 3.9172,                0.35151,                0.92899,                 1.2185,                0.86256,                0.79732,                0.89358,                0.67292,                0.82695,                0.71998,                0.77596,                0.46498,                 0.8942,                  2.726,                0.32017,                 0.6875,                 1.0939,              0.0094357,              0.0094357,              0.0094357
                    116,                 1.0677,                 3.9147,                0.35133,                0.93156,                 1.2185,                0.86138,                0.79691,                0.89307,                0.67269,                0.82832,                0.71867,                 0.7746,                0.46494,                0.89419,                  2.725,                 0.3202,                0.68895,                 1.0937,              0.0094307,              0.0094307,              0.0094307
                    117,                  1.063,                 3.9064,                0.35102,                0.92671,                  1.217,                0.85814,                0.79807,                0.89289,                0.67309,                0.82729,                0.71946,                0.77518,                0.46448,                0.89376,                 2.7253,                0.32019,                0.68923,                 1.0935,              0.0094258,              0.0094258,              0.0094258
                    118,                 1.0647,                 3.9162,                0.35143,                 0.9297,                 1.2178,                0.85731,                0.80022,                0.89282,                0.67322,                0.82719,                 0.7182,                0.77502,                0.46473,                0.89377,                 2.7246,                0.32014,                0.68923,                 1.0935,              0.0094208,              0.0094208,              0.0094208
                    119,                 1.0628,                  3.906,                 0.3512,                0.92754,                  1.217,                   0.86,                 0.7959,                0.89302,                0.67347,                0.82983,                0.71629,                 0.7745,                0.46511,                0.89428,                 2.7276,                0.32012,                0.68929,                 1.0938,              0.0094159,              0.0094159,              0.0094159
                    120,                 1.0627,                 3.9226,                0.35102,                0.93013,                 1.2165,                0.86306,                0.79361,                0.89316,                0.67304,                0.83081,                0.71489,                0.77509,                0.46464,                0.89431,                 2.7269,                0.32014,                0.68977,                 1.0938,              0.0094109,              0.0094109,              0.0094109
                    121,                 1.0646,                 3.9135,                0.35093,                 0.9288,                 1.2182,                0.86014,                0.79585,                0.89288,                0.67271,                0.82965,                0.71458,                0.77443,                0.46469,                0.89401,                 2.7278,                0.32016,                 0.6894,                 1.0934,               0.009406,               0.009406,               0.009406
                    122,                 1.0666,                 3.9196,                0.35174,                0.93287,                 1.2186,                0.86207,                0.79502,                0.89305,                0.67281,                0.83165,                0.71206,                0.77423,                0.46458,                0.89378,                 2.7256,                0.32012,                0.68927,                 1.0934,               0.009401,               0.009401,               0.009401
                    123,                 1.0663,                 3.9159,                0.35148,                0.93381,                 1.2197,                0.86058,                 0.7959,                0.89295,                0.67301,                 0.8353,                0.71096,                0.77526,                0.46427,                0.89311,                 2.7249,                0.32017,                0.68978,                 1.0933,              0.0093961,              0.0093961,              0.0093961
                    124,                 1.0661,                  3.912,                0.35109,                0.93092,                   1.22,                0.85752,                0.79943,                0.89332,                0.67286,                0.83312,                0.71458,                0.77434,                0.46448,                0.89308,                 2.7236,                0.32006,                0.69051,                 1.0933,              0.0093912,              0.0093912,              0.0093912
                    125,                 1.0676,                 3.9275,                0.35134,                0.93204,                   1.22,                0.85582,                0.79991,                0.89338,                0.67306,                0.83463,                0.71017,                0.77306,                  0.464,                0.89348,                 2.7232,                0.32016,                0.69092,                 1.0933,              0.0093862,              0.0093862,              0.0093862
                    126,                 1.0647,                 3.9184,                0.35109,                0.93562,                 1.2179,                0.85467,                0.80022,                0.89302,                0.67285,                0.83558,                0.71017,                0.77461,                 0.4636,                0.89346,                  2.724,                0.32007,                0.69105,                 1.0932,              0.0093813,              0.0093813,              0.0093813
                    127,                  1.066,                 3.9089,                0.35084,                0.93158,                 1.2177,                0.85084,                0.80106,                0.89204,                0.67256,                0.83494,                0.70986,                0.77445,                0.46371,                0.89334,                 2.7248,                0.32018,                0.69085,                 1.0929,              0.0093763,              0.0093763,              0.0093763
                    128,                  1.064,                 3.8968,                0.35043,                0.92662,                 1.2171,                0.85569,                0.79912,                0.89258,                0.67306,                0.83113,                0.71361,                0.77614,                0.46355,                0.89369,                  2.725,                0.32023,                0.69097,                 1.0932,              0.0093714,              0.0093714,              0.0093714
                    129,                 1.0661,                 3.9116,                0.35072,                0.93193,                 1.2181,                0.85349,                0.80116,                0.89329,                0.67299,                0.82728,                0.71635,                 0.7744,                0.46434,                0.89318,                 2.7249,                0.32022,                0.69144,                 1.0928,              0.0093664,              0.0093664,              0.0093664
                    130,                 1.0638,                 3.9091,                0.35064,                0.93058,                 1.2178,                0.85329,                0.80148,                0.89322,                0.67324,                0.82198,                0.71568,                0.77197,                0.46446,                0.89325,                 2.7258,                0.32023,                 0.6911,                 1.0929,              0.0093615,              0.0093615,              0.0093615
                    131,                 1.0642,                 3.9232,                0.35107,                0.93101,                 1.2171,                0.85607,                0.79975,                 0.8928,                0.67278,                0.82219,                0.71678,                0.77367,                0.46391,                0.89337,                 2.7252,                0.32021,                 0.6909,                 1.0928,              0.0093565,              0.0093565,              0.0093565
                    132,                 1.0652,                 3.9043,                0.35129,                0.92833,                 1.2164,                 0.8556,                0.79944,                0.89226,                0.67267,                 0.8257,                  0.713,                 0.7722,                 0.4643,                0.89347,                 2.7241,                0.32025,                0.69084,                 1.0929,              0.0093516,              0.0093516,              0.0093516
                    133,                  1.067,                  3.912,                0.35106,                0.93127,                 1.2183,                0.85162,                0.80195,                0.89198,                0.67256,                0.82862,                0.71096,                0.77332,                0.46432,                0.89353,                 2.7225,                0.32007,                0.69134,                 1.0929,              0.0093466,              0.0093466,              0.0093466
                    134,                 1.0639,                 3.9073,                0.35077,                0.92692,                 1.2164,                0.85901,                 0.7977,                0.89185,                0.67213,                0.82814,                0.71079,                0.77356,                0.46428,                0.89382,                 2.7226,                0.32002,                0.69147,                 1.0933,              0.0093416,              0.0093416,              0.0093416
                    135,                 1.0657,                 3.9158,                0.35131,                0.93226,                 1.2191,                0.85924,                0.79765,                0.89161,                0.67148,                0.82147,                0.71715,                0.77514,                0.46444,                0.89412,                 2.7233,                0.32001,                0.69147,                 1.0935,              0.0093367,              0.0093367,              0.0093367
                    136,                  1.065,                 3.9161,                0.35087,                0.93247,                 1.2184,                0.85061,                 0.8051,                0.89258,                0.67223,                0.82163,                 0.7172,                0.77559,                0.46529,                0.89386,                 2.7221,                0.32005,                0.69126,                 1.0936,              0.0093317,              0.0093317,              0.0093317
                    137,                 1.0649,                 3.9165,                0.35085,                0.93158,                 1.2167,                0.85389,                 0.8029,                0.89201,                0.67194,                0.82168,                0.71725,                0.77564,                0.46534,                 0.8943,                  2.721,                0.31996,                 0.6911,                 1.0941,              0.0093268,              0.0093268,              0.0093268
                    138,                 1.0618,                 3.8888,                0.35014,                0.92454,                 1.2169,                0.85593,                0.80038,                0.89264,                0.67191,                0.82819,                0.71412,                0.77564,                0.46535,                0.89382,                 2.7186,                0.31993,                0.69028,                 1.0939,              0.0093219,              0.0093219,              0.0093219
                    139,                 1.0648,                 3.9029,                0.35046,                0.92895,                 1.2163,                0.85375,                0.80416,                0.89303,                0.67197,                0.82804,                0.71333,                0.77556,                0.46562,                0.89437,                 2.7198,                0.31985,                0.69021,                  1.094,              0.0093169,              0.0093169,              0.0093169
                    140,                 1.0647,                 3.9087,                0.35149,                0.93139,                  1.217,                0.85096,                0.80935,                 0.8931,                0.67236,                0.83052,                0.71206,                0.77533,                0.46522,                0.89346,                 2.7186,                0.31968,                 0.6901,                 1.0931,              0.0093119,              0.0093119,              0.0093119
                    141,                 1.0633,                 3.8825,                0.34929,                0.92684,                 1.2151,                0.84893,                 0.8095,                0.89302,                0.67198,                0.83064,                0.70884,                0.77426,                 0.4651,                0.89344,                 2.7185,                0.31969,                 0.6902,                 1.0932,               0.009307,               0.009307,               0.009307
                    142,                  1.065,                 3.9056,                 0.3508,                0.92914,                 1.2183,                 0.8486,                0.81093,                0.89297,                0.67255,                0.83233,                0.70686,                0.77439,                0.46533,                0.89356,                 2.7184,                0.31975,                0.68935,                 1.0932,               0.009302,               0.009302,               0.009302
                    143,                 1.0657,                 3.9186,                 0.3511,                0.93114,                 1.2166,                0.84837,                0.81045,                0.89306,                0.67274,                0.83355,                0.70637,                0.77372,                0.46546,                0.89346,                 2.7178,                0.31975,                0.68921,                 1.0932,              0.0092971,              0.0092971,              0.0092971
                    144,                 1.0658,                 3.9184,                 0.3513,                0.93317,                 1.2176,                0.85103,                0.80526,                0.89256,                0.67204,                 0.8335,                0.70931,                0.77462,                0.46515,                  0.893,                 2.7176,                0.31997,                0.68946,                 1.0929,              0.0092922,              0.0092922,              0.0092922
                    145,                 1.0636,                 3.8971,                0.35139,                0.93156,                 1.2191,                0.85145,                0.80463,                0.89267,                0.67136,                0.83015,                0.71096,                0.77556,                0.46523,                0.89371,                 2.7178,                0.32004,                0.68904,                 1.0931,              0.0092872,              0.0092872,              0.0092872
                    146,                 1.0621,                 3.9057,                0.35046,                0.92936,                 1.2176,                0.84979,                 0.8069,                0.89283,                0.67185,                0.83768,                0.70671,                0.77515,                0.46477,                0.89365,                 2.7173,                0.31995,                0.68906,                 1.0931,              0.0092823,              0.0092823,              0.0092823
                    147,                 1.0627,                 3.8998,                0.35096,                0.92859,                 1.2157,                0.85144,                0.80302,                0.89239,                 0.6716,                 0.8328,                0.71111,                0.77601,                0.46462,                0.89356,                 2.7185,                   0.32,                0.68843,                 1.0931,              0.0092773,              0.0092773,              0.0092773
                    148,                 1.0648,                 3.9087,                0.35124,                0.92955,                 1.2176,                0.85374,                0.80085,                 0.8922,                0.67136,                0.83457,                0.70925,                0.77566,                0.46544,                0.89301,                 2.7159,                0.31998,                0.68821,                 1.0926,              0.0092724,              0.0092724,              0.0092724
                    149,                 1.0643,                 3.8992,                0.35083,                0.92691,                 1.2163,                0.84981,                0.80856,                0.89257,                0.67134,                0.83616,                0.70875,                0.77589,                0.46528,                0.89326,                 2.7149,                0.31993,                0.68793,                 1.0927,              0.0092674,              0.0092674,              0.0092674
                    150,                 1.0633,                 3.8971,                0.34998,                0.92743,                  1.216,                0.85041,                0.80819,                0.89277,                0.67158,                0.82914,                0.71049,                0.77351,                0.46524,                0.89277,                 2.7156,                0.31993,                 0.6878,                 1.0922,              0.0092625,              0.0092625,              0.0092625
                    151,                 1.0642,                 3.9008,                0.35081,                0.92999,                 1.2156,                0.85164,                0.80699,                0.89273,                0.67167,                0.82824,                0.70986,                0.77327,                0.46523,                0.89264,                 2.7162,                0.31999,                0.68827,                 1.0919,              0.0092575,              0.0092575,              0.0092575
                    152,                 1.0634,                 3.9116,                0.35023,                0.92772,                 1.2159,                0.84995,                0.80888,                0.89319,                0.67172,                0.83424,                0.70639,                0.77333,                0.46552,                0.89335,                 2.7178,                   0.32,                0.68878,                 1.0925,              0.0092526,              0.0092526,              0.0092526
                    153,                 1.0617,                 3.8983,                0.35064,                0.92602,                 1.2168,                0.85027,                0.80636,                0.89295,                0.67168,                0.83629,                0.70608,                0.77348,                0.46556,                0.89322,                 2.7178,                0.31995,                0.68913,                 1.0927,              0.0092476,              0.0092476,              0.0092476
                    154,                 1.0616,                 3.9116,                0.35138,                0.92865,                 1.2147,                0.84842,                0.80636,                0.89287,                0.67162,                0.84083,                0.70466,                 0.7739,                0.46517,                 0.8928,                 2.7183,                0.31986,                0.68858,                 1.0928,              0.0092426,              0.0092426,              0.0092426
                    155,                 1.0659,                  3.912,                0.35101,                0.93174,                 1.2172,                0.84836,                0.80825,                0.89263,                0.67113,                0.84006,                0.70367,                 0.7745,                 0.4653,                0.89341,                 2.7181,                0.31975,                0.68861,                 1.0932,              0.0092377,              0.0092377,              0.0092377
                    156,                 1.0628,                  3.896,                0.35159,                0.92584,                 1.2161,                0.84731,                0.81014,                0.89277,                0.67112,                0.83417,                0.70765,                 0.7747,                0.46548,                0.89344,                 2.7162,                0.31975,                0.68861,                 1.0933,              0.0092327,              0.0092327,              0.0092327
                    157,                 1.0642,                 3.8977,                0.35021,                0.92678,                 1.2151,                0.85141,                0.80643,                0.89299,                0.67162,                 0.8237,                0.71717,                0.77496,                0.46603,                0.89325,                 2.7155,                0.31965,                0.68818,                 1.0933,              0.0092278,              0.0092278,              0.0092278
                    158,                 1.0652,                 3.9051,                 0.3507,                0.92816,                 1.2181,                0.85201,                0.80557,                0.89307,                0.67144,                0.82618,                0.71631,                0.77475,                0.46573,                0.89358,                 2.7138,                0.31962,                0.68852,                 1.0934,              0.0092229,              0.0092229,              0.0092229
                    159,                 1.0635,                 3.8979,                0.35084,                0.92674,                 1.2166,                0.84848,                0.80762,                0.89301,                0.67178,                0.82689,                0.71588,                0.77482,                0.46594,                0.89273,                 2.7144,                0.31957,                0.68786,                 1.0931,              0.0092179,              0.0092179,              0.0092179
                    160,                 1.0633,                 3.9044,                0.34992,                0.92704,                 1.2168,                0.85146,                0.80526,                0.89325,                0.67224,                0.82729,                0.71505,                0.77469,                0.46561,                0.89303,                 2.7145,                0.31965,                0.68765,                 1.0933,              0.0092129,              0.0092129,              0.0092129
                    161,                 1.0651,                 3.9008,                0.35051,                0.92888,                 1.2157,                0.85334,                  0.804,                0.89268,                0.67217,                0.83322,                0.71174,                0.77461,                0.46617,                 0.8935,                 2.7143,                0.31955,                0.68835,                 1.0934,               0.009208,               0.009208,               0.009208
                    162,                 1.0623,                 3.8949,                0.35012,                0.92785,                 1.2172,                0.85447,                0.80323,                0.89288,                 0.6722,                0.83147,                0.71222,                0.77389,                0.46586,                0.89377,                 2.7154,                0.31942,                0.68792,                 1.0934,              0.0092031,              0.0092031,              0.0092031
                    163,                 1.0618,                 3.8909,                0.34985,                0.92692,                 1.2164,                0.85873,                0.80003,                 0.8931,                0.67237,                0.83223,                0.71143,                0.77298,                0.46596,                0.89408,                 2.7155,                0.31952,                0.68708,                  1.094,              0.0091981,              0.0091981,              0.0091981
                    164,                 1.0627,                 3.9003,                0.35018,                0.92542,                 1.2164,                0.85893,                0.80164,                0.89308,                0.67292,                 0.8265,                0.71584,                 0.7755,                0.46635,                0.89358,                 2.7158,                0.31954,                0.68685,                 1.0937,              0.0091932,              0.0091932,              0.0091932
                    165,                 1.0619,                 3.9093,                0.35112,                0.92702,                 1.2156,                0.85558,                0.80305,                0.89332,                0.67312,                0.82958,                0.71349,                0.77446,                 0.4662,                0.89395,                 2.7156,                0.31963,                0.68713,                 1.0939,              0.0091882,              0.0091882,              0.0091882
                    166,                 1.0613,                 3.8838,                0.34941,                0.92202,                 1.2142,                0.85484,                 0.8029,                0.89342,                0.67335,                0.83501,                0.71001,                0.77462,                0.46602,                0.89366,                  2.716,                0.31966,                0.68697,                 1.0938,              0.0091833,              0.0091833,              0.0091833
                    167,                 1.0634,                 3.8971,                0.35022,                0.92603,                 1.2162,                 0.8551,                0.80116,                0.89358,                0.67316,                0.83404,                0.71046,                0.77426,                0.46595,                0.89281,                  2.716,                0.31961,                0.68703,                 1.0929,              0.0091783,              0.0091783,              0.0091783
                    168,                 1.0615,                 3.8909,                 0.3504,                0.92766,                 1.2158,                0.85435,                0.80101,                0.89363,                0.67335,                0.83229,                0.71173,                0.77438,                0.46542,                0.89312,                  2.715,                0.31952,                0.68735,                 1.0929,              0.0091734,              0.0091734,              0.0091734
                    169,                 1.0641,                 3.9012,                0.34998,                0.92701,                 1.2154,                0.85181,                0.80266,                 0.8934,                0.67305,                0.82447,                0.71694,                0.77486,                0.46546,                0.89352,                 2.7158,                0.31952,                0.68766,                 1.0934,              0.0091684,              0.0091684,              0.0091684
                    170,                 1.0607,                  3.889,                0.34957,                0.92577,                 1.2143,                0.85472,                0.80395,                0.89388,                0.67258,                0.83107,                0.71253,                0.77455,                0.46546,                0.89408,                 2.7134,                0.31942,                0.68777,                 1.0936,              0.0091635,              0.0091635,              0.0091635
                    171,                 1.0613,                 3.8883,                0.35052,                0.92706,                 1.2167,                0.86159,                0.79739,                0.89361,                0.67274,                0.83542,                0.70875,                 0.7735,                0.46414,                 0.8938,                  2.715,                0.31936,                0.68762,                 1.0937,              0.0091585,              0.0091585,              0.0091585
                    172,                 1.0635,                 3.8984,                0.35045,                0.92801,                 1.2165,                0.85553,                0.80085,                0.89376,                0.67288,                0.82714,                0.71412,                0.77262,                0.46419,                0.89397,                 2.7158,                0.31948,                0.68729,                 1.0937,              0.0091535,              0.0091535,              0.0091535
                    173,                 1.0631,                 3.8956,                 0.3503,                0.92699,                 1.2184,                0.86031,                0.79676,                0.89387,                0.67296,                0.83254,                0.71067,                0.77333,                0.46405,                0.89386,                 2.7151,                 0.3195,                 0.6869,                  1.094,              0.0091486,              0.0091486,              0.0091486
                    174,                 1.0615,                  3.892,                0.34954,                0.92583,                 1.2164,                0.85783,                0.79833,                  0.894,                0.67301,                0.83129,                0.70986,                0.77178,                0.46397,                 0.8944,                 2.7165,                0.31954,                0.68643,                 1.0946,              0.0091436,              0.0091436,              0.0091436
                    175,                 1.0621,                 3.8922,                0.35029,                0.92636,                 1.2155,                0.85809,                0.79775,                0.89375,                0.67314,                0.83449,                0.71001,                0.77385,                0.46392,                0.89419,                 2.7158,                0.31951,                0.68665,                 1.0946,              0.0091387,              0.0091387,              0.0091387
                    176,                 1.0651,                 3.9076,                0.35027,                0.92973,                 1.2184,                0.86323,                0.79487,                0.89393,                0.67313,                0.83533,                0.70875,                0.77389,                0.46382,                0.89458,                 2.7164,                0.31948,                0.68644,                 1.0949,              0.0091337,              0.0091337,              0.0091337
                    177,                 1.0618,                 3.9043,                0.35108,                0.92673,                 1.2161,                0.85284,                 0.8051,                0.89398,                0.67317,                0.83805,                0.70828,                0.77457,                0.46457,                0.89406,                 2.7171,                0.31954,                0.68618,                 1.0948,              0.0091288,              0.0091288,              0.0091288
                    178,                 1.0594,                 3.8906,                0.35003,                0.92741,                 1.2156,                0.84705,                0.80888,                0.89357,                0.67307,                0.83944,                 0.7056,                0.77399,                0.46502,                0.89405,                  2.717,                0.31944,                0.68638,                 1.0946,              0.0091239,              0.0091239,              0.0091239
                    179,                 1.0588,                 3.8955,                0.34972,                0.92486,                  1.214,                0.84697,                0.80841,                0.89357,                0.67332,                 0.8331,                0.71001,                0.77292,                0.46454,                0.89367,                 2.7166,                0.31939,                 0.6867,                 1.0942,              0.0091189,              0.0091189,              0.0091189
                    180,                  1.066,                 3.9054,                0.35052,                0.92871,                 1.2165,                0.84668,                0.80679,                0.89339,                 0.6732,                0.83853,                0.70576,                0.77278,                0.46499,                0.89393,                 2.7154,                0.31933,                0.68668,                 1.0942,              0.0091139,              0.0091139,              0.0091139
                    181,                 1.0633,                 3.8972,                0.35023,                0.92735,                 1.2159,                0.84777,                0.80662,                0.89329,                0.67358,                0.83842,                0.70623,                0.77306,                0.46417,                0.89364,                 2.7146,                 0.3193,                0.68663,                 1.0942,               0.009109,               0.009109,               0.009109
                    182,                 1.0623,                 3.8918,                0.34985,                0.92724,                 1.2166,                0.84899,                0.80544,                0.89395,                0.67306,                 0.8401,                0.70592,                0.77395,                0.46448,                0.89325,                  2.715,                0.31919,                0.68712,                 1.0942,              0.0091041,              0.0091041,              0.0091041
                    183,                 1.0634,                 3.8861,                0.35027,                0.92601,                 1.2165,                 0.8513,                0.80486,                0.89425,                0.67309,                0.84043,                0.70686,                0.77374,                0.46451,                0.89294,                 2.7144,                0.31909,                0.68773,                 1.0938,              0.0090991,              0.0090991,              0.0090991
                    184,                 1.0628,                 3.8987,                0.35031,                0.92616,                  1.216,                0.84791,                0.80636,                0.89397,                0.67321,                0.83822,                0.70966,                0.77423,                0.46449,                0.89305,                 2.7159,                0.31903,                0.68795,                 1.0943,              0.0090942,              0.0090942,              0.0090942
                    185,                 1.0609,                  3.902,                0.35101,                0.92615,                 1.2152,                 0.8457,                0.80847,                0.89388,                0.67317,                0.83737,                 0.7108,                0.77426,                0.46457,                0.89333,                 2.7171,                0.31911,                0.68755,                 1.0944,              0.0090892,              0.0090892,              0.0090892
                    186,                 1.0617,                 3.8888,                0.35055,                0.92481,                 1.2162,                0.84372,                0.81061,                0.89397,                0.67346,                0.83778,                0.71048,                0.77453,                0.46457,                0.89258,                 2.7173,                0.31894,                0.68765,                 1.0939,              0.0090843,              0.0090843,              0.0090843
                    187,                 1.0618,                 3.8924,                0.35065,                0.92582,                  1.214,                0.84269,                0.81129,                0.89382,                 0.6731,                0.83906,                0.70916,                0.77551,                 0.4649,                0.89205,                 2.7175,                0.31891,                0.68782,                 1.0933,              0.0090793,              0.0090793,              0.0090793
                    188,                 1.0629,                 3.8847,                0.35096,                0.92699,                  1.215,                0.84403,                0.81018,                0.89311,                0.67299,                0.83803,                0.70749,                0.77432,                 0.4647,                0.89197,                 2.7179,                0.31896,                0.68744,                 1.0933,              0.0090744,              0.0090744,              0.0090744
                    189,                 1.0618,                 3.8898,                0.35035,                0.92455,                 1.2148,                0.84514,                0.81045,                 0.8929,                0.67261,                0.83846,                0.70639,                0.77441,                0.46557,                0.89219,                 2.7191,                0.31898,                0.68742,                 1.0936,              0.0090694,              0.0090694,              0.0090694
                    190,                 1.0586,                 3.8857,                0.35005,                0.92487,                 1.2138,                0.84563,                0.81066,                 0.8933,                0.67291,                0.83941,                0.70932,                0.77572,                 0.4661,                0.89313,                 2.7189,                0.31907,                 0.6874,                  1.094,              0.0090644,              0.0090644,              0.0090644
                    191,                 1.0613,                 3.8818,                0.34968,                0.92549,                 1.2147,                0.84359,                0.81171,                0.89272,                0.67259,                0.83848,                0.70773,                0.77567,                0.46631,                0.89256,                 2.7182,                0.31904,                0.68738,                 1.0937,              0.0090595,              0.0090595,              0.0090595
                    192,                 1.0609,                 3.8852,                0.34989,                 0.9235,                 1.2134,                 0.8443,                0.81098,                0.89267,                0.67264,                0.83179,                0.71237,                0.77461,                0.46608,                0.89288,                 2.7173,                0.31914,                0.68761,                 1.0936,              0.0090545,              0.0090545,              0.0090545
                    193,                  1.061,                 3.8862,                0.34935,                0.92406,                 1.2152,                0.84627,                0.80857,                0.89254,                0.67242,                 0.8335,                 0.7108,                0.77481,                0.46577,                0.89286,                 2.7169,                0.31914,                0.68826,                 1.0933,              0.0090496,              0.0090496,              0.0090496
                    194,                 1.0652,                  3.897,                0.35011,                0.92707,                  1.217,                0.84679,                0.80699,                0.89276,                0.67234,                0.83084,                0.71294,                0.77488,                0.46653,                0.89295,                 2.7145,                0.31914,                0.68828,                 1.0931,              0.0090446,              0.0090446,              0.0090446
                    195,                 1.0627,                 3.8964,                0.34992,                0.92536,                 1.2161,                0.84319,                0.81266,                0.89303,                0.67256,                0.83223,                0.71224,                0.77432,                0.46599,                0.89342,                 2.7138,                0.31913,                0.68848,                 1.0935,              0.0090397,              0.0090397,              0.0090397
